filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
9.jpeg,7928,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":105,""y"":40,""width"":117,""height"":147}","{""name"":""damage"",""type"":""unknown"",""image_quality"":{""good"":true,""good_illumination"":true,""frontal"":true}}"
0002.JPEG,7164,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":26,""y"":31,""width"":228,""height"":115}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0003.JPEG,5426,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":17,""y"":46,""width"":109,""height"":111}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0004.JPEG,7165,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":12,""y"":38,""width"":122,""height"":49}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0005.JPEG,7047,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":130,""y"":57,""width"":80,""height"":83}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0006.JPEG,8088,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":123,""y"":37,""width"":53,""height"":120}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0007.JPEG,6448,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":97,""y"":56,""width"":87,""height"":64}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0008.JPEG,7432,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":53,""y"":134,""width"":97,""height"":60}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0009.JPEG,7736,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":13,""y"":38,""width"":250,""height"":105}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0010.JPEG,8708,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",0,0,"{}","{}"
0011.JPEG,8901,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":14,""y"":13,""width"":237,""height"":86}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0012.JPEG,5780,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":57,""y"":30,""width"":164,""height"":128}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0013.JPEG,7821,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":49,""y"":26,""width"":182,""height"":115}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0014.JPEG,9627,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":32,""y"":81,""width"":55,""height"":81}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
0015.JPEG,5633,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":118,""y"":97,""width"":42,""height"":40}","{""name"":""damaged"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
